StudentID,CourseID,Name,StudyOrNot,Semester,Group
6,1,Những môn chính học kỳ 1,1,1,0
6,2,Những môn chính học kỳ 2,1,2,0
6,3,Logic học,1,2,1
6,4,Phương pháp tính,0,2,1
6,5,Vật lý đại cương,0,2,1
6,6,Toán ứng dụng,0,2,1
6,7,Hàm phức và phép biến đổi Laplace,0,2,1
6,8,Những môn chính học kỳ 3,1,3,0
6,9,Kỹ năng xây dựng kế hoạch ,1,3,1
6,10,Quản trị học,0,3,1
6,11,Quản trị doanh nghiệp,0,3,1
6,12,Kế toán cơ bản,0,3,1
6,13,Môi trường và con người ,0,3,1
6,14,Giao tiếp kinh doanh,0,3,1
6,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
6,16,Những môn chính học kỳ 4,1,4,0
6,17,Giải thuật và tối ưu hoá phân tán,0,4,1
6,18,Trực quan hóa dữ liệu,0,4,1
6,19,Đại số tuyến tính tính toán,1,4,1
6,20,Quá trình ngẫu nhiên,0,4,2
6,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
6,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,4,2
6,23,Những môn chính học kỳ 5,1,5,0
6,24,Phân tích chuỗi thời gian,0,5,1
6,25,Xử lý ảnh ,0,5,1
6,26,Kĩ thuật tài chính,0,5,1
6,27,Những môn chính học kỳ 6,1,6,0
6,28,Tiếp thị điện tử ,0,6,1
6,29,Tương tác người máy ,0,6,1
6,30,Giao dịch định lượng,0,6,1
6,31,Nhập môn Robot,0,6,1
6,32,Công nghệ phần mềm ,0,6,2
6,33,Tính toán song song,0,6,2
6,34,Khai phá đồ thị,0,6,2
6,35,Những môn chính học kỳ 7,1,7,0
6,36,Hệ khuyến nghị,0,7,1
6,37,Nhập môn an toàn thông tin,0,7,1
6,38,Lý thuyết trò chơi,0,7,1
6,39,Tâm lí học đại cương,0,7,2
6,40,Cơ sở văn hóa Việt Nam,0,7,2
6,41,Xã hội học,0,7,2
6,42,Tiếng Việt thực hành,0,7,2
6,43,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,2
6,44,Hội họa,0,7,2
6,45,Những môn chính học kỳ 8,1,8,0
6,46,Phân tích dữ liệu Bayesian,0,8,1
6,47,Đảm bảo chất lượng và Kiểm thử phần mềm ,0,8,1
6,48,Phân tích kinh doanh,0,8,1
6,49,Giải tích ngẫu nhiên cho tài chính,0,8,1
6,50,Những môn chính học kỳ 9,1,9,0
7,1,Những môn chính học kỳ 1,1,1,0
7,2,Những môn chính học kỳ 2,1,2,0
7,3,Logic học,1,2,1
7,4,Phương pháp tính,0,2,1
7,5,Vật lý đại cương,0,2,1
7,6,Toán ứng dụng,0,2,1
7,7,Hàm phức và phép biến đổi Laplace,0,2,1
7,8,Những môn chính học kỳ 3,1,3,0
7,9,Kỹ năng xây dựng kế hoạch ,0,3,1
7,10,Quản trị học,1,3,1
7,11,Quản trị doanh nghiệp,0,3,1
7,12,Kế toán cơ bản,0,3,1
7,13,Môi trường và con người ,0,3,1
7,14,Giao tiếp kinh doanh,0,3,1
7,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
7,16,Những môn chính học kỳ 4,1,4,0
7,17,Giải thuật và tối ưu hoá phân tán,0,4,1
7,18,Trực quan hóa dữ liệu,1,4,1
7,19,Đại số tuyến tính tính toán,0,4,1
7,20,Quá trình ngẫu nhiên,0,4,2
7,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
7,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,0,4,2
7,23,Những môn chính học kỳ 5,1,5,0
7,24,Phân tích chuỗi thời gian,0,5,1
7,25,Xử lý ảnh ,1,5,1
7,26,Kĩ thuật tài chính,0,5,1
7,27,Những môn chính học kỳ 6,1,6,0
7,28,Tiếp thị điện tử ,0,6,1
7,29,Tương tác người máy ,0,6,1
7,30,Giao dịch định lượng,0,6,1
7,31,Nhập môn Robot,0,6,1
7,32,Công nghệ phần mềm ,0,6,2
7,33,Tính toán song song,0,6,2
7,34,Khai phá đồ thị,1,6,2
7,35,Những môn chính học kỳ 7,1,7,0
7,36,Hệ khuyến nghị,0,7,1
7,37,Nhập môn an toàn thông tin,0,7,1
7,38,Lý thuyết trò chơi,1,7,1
7,39,Tâm lí học đại cương,0,7,2
7,40,Cơ sở văn hóa Việt Nam,0,7,2
7,41,Xã hội học,0,7,2
7,42,Tiếng Việt thực hành,0,7,2
7,43,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,2
7,44,Hội họa,0,7,2
7,45,Những môn chính học kỳ 8,1,8,0
7,46,Phân tích dữ liệu Bayesian,1,8,1
7,47,Đảm bảo chất lượng và Kiểm thử phần mềm ,0,8,1
7,48,Phân tích kinh doanh,0,8,1
7,49,Giải tích ngẫu nhiên cho tài chính,0,8,1
7,50,Những môn chính học kỳ 9,1,9,0
8,1,Những môn chính học kỳ 1,1,1,0
8,2,Những môn chính học kỳ 2,1,2,0
8,3,Logic học,1,2,1
8,4,Phương pháp tính,0,2,1
8,5,Vật lý đại cương,0,2,1
8,6,Toán ứng dụng,0,2,1
8,7,Hàm phức và phép biến đổi Laplace,0,2,1
8,8,Những môn chính học kỳ 3,1,3,0
8,9,Kỹ năng xây dựng kế hoạch ,0,3,1
8,10,Quản trị học,0,3,1
8,11,Quản trị doanh nghiệp,0,3,1
8,12,Kế toán cơ bản,0,3,1
8,13,Môi trường và con người ,0,3,1
8,14,Giao tiếp kinh doanh,0,3,1
8,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,1,3,1
8,16,Những môn chính học kỳ 4,1,4,0
8,17,Giải thuật và tối ưu hoá phân tán,0,4,1
8,18,Trực quan hóa dữ liệu,0,4,1
8,19,Đại số tuyến tính tính toán,1,4,1
8,20,Quá trình ngẫu nhiên,0,4,2
8,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
8,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,4,2
8,23,Những môn chính học kỳ 5,1,5,0
8,24,Phân tích chuỗi thời gian,0,5,1
8,25,Xử lý ảnh ,0,5,1
8,26,Kĩ thuật tài chính,0,5,1
8,27,Những môn chính học kỳ 6,1,6,0
8,28,Tiếp thị điện tử ,0,6,1
8,29,Tương tác người máy ,0,6,1
8,30,Giao dịch định lượng,0,6,1
8,31,Nhập môn Robot,0,6,1
8,32,Công nghệ phần mềm ,0,6,2
8,33,Tính toán song song,0,6,2
8,34,Khai phá đồ thị,0,6,2
8,35,Những môn chính học kỳ 7,1,7,0
8,36,Hệ khuyến nghị,0,7,1
8,37,Nhập môn an toàn thông tin,1,7,1
8,38,Lý thuyết trò chơi,0,7,1
8,39,Tâm lí học đại cương,0,7,2
8,40,Cơ sở văn hóa Việt Nam,0,7,2
8,41,Xã hội học,0,7,2
8,42,Tiếng Việt thực hành,1,7,2
